class,filename,filepath,width,height,aspect_ratio,mode,format,size_kb,corrupt,hash,brightness,contrast
Cracks,1.jpg,..\data\Surface Crack Detection\Cracks\Cracks\1.jpg,1289,1744,0.739,RGB,JPEG,818.5,False,9de46a62afd4a00d7e72d55af50516d4,162.17188,14.681618
Cracks,10.jpg,..\data\Surface Crack Detection\Cracks\Cracks\10.jpg,1053,1287,0.818,RGB,JPEG,452.1,False,4eb772e6e2af25704c44ec5bfae578af,158.55383,30.442617
Cracks,100.jpg,..\data\Surface Crack Detection\Cracks\Cracks\100.jpg,1711,1429,1.197,RGB,JPEG,620.0,False,bec4c1456f6ba14aa0cc8353d3c36aa3,158.2486,10.34214
Cracks,102.jpg,..\data\Surface Crack Detection\Cracks\Cracks\102.jpg,1831,1551,1.181,RGB,JPEG,767.6,False,d6590026edf56167d23759dd185a83ee,165.80212,14.191802
Cracks,103.jpg,..\data\Surface Crack Detection\Cracks\Cracks\103.jpg,2372,1504,1.577,RGB,JPEG,1227.7,False,810a5bfd4efde3436a9179ecdb3eb08e,157.44,11.74293
Cracks,106.jpg,..\data\Surface Crack Detection\Cracks\Cracks\106.jpg,2024,1585,1.277,RGB,JPEG,827.4,False,d9312a283c8c1c17927cd4d26f1639d8,155.97357,12.011463
Cracks,109.jpg,..\data\Surface Crack Detection\Cracks\Cracks\109.jpg,2088,1265,1.651,RGB,JPEG,702.2,False,95fdc8b6705a3355cfeafe66f51a0dd4,179.2594,18.997667
Cracks,11.jpg,..\data\Surface Crack Detection\Cracks\Cracks\11.jpg,835,1005,0.831,RGB,JPEG,409.9,False,09bfb5f54e15eabb1b7db81e7e384e3c,144.28064,25.188215
Cracks,110.jpg,..\data\Surface Crack Detection\Cracks\Cracks\110.jpg,1272,762,1.669,RGB,JPEG,189.7,False,7a82176e050739bf5d5cda25823d1717,189.09491,18.453989
Cracks,111.jpg,..\data\Surface Crack Detection\Cracks\Cracks\111.jpg,2515,1594,1.578,RGB,JPEG,1211.8,False,1b86a7c899856267e09cb456856fdafb,173.18982,18.584599
Cracks,112.jpg,..\data\Surface Crack Detection\Cracks\Cracks\112.jpg,1576,1271,1.24,RGB,JPEG,325.1,False,75970e8020ea377fe180fabb63b54dcb,184.36584,16.97932
Cracks,113.jpg,..\data\Surface Crack Detection\Cracks\Cracks\113.jpg,2294,1542,1.488,RGB,JPEG,721.4,False,16c9d4e0c99a6fb53a98048573c84f89,165.46417,17.33456
Cracks,114.jpg,..\data\Surface Crack Detection\Cracks\Cracks\114.jpg,1919,1409,1.362,RGB,JPEG,1002.3,False,ffd00de3c218afc1c51db3c60ca68719,172.85559,16.473915
Cracks,115.jpg,..\data\Surface Crack Detection\Cracks\Cracks\115.jpg,1795,1081,1.66,RGB,JPEG,473.4,False,f104cc4ea2fcf705980e1f731a2c3f4e,165.9831,15.110103
Cracks,116.jpg,..\data\Surface Crack Detection\Cracks\Cracks\116.jpg,1966,1235,1.592,RGB,JPEG,894.4,False,7e9c3301325aaf12761db5c31478f1a7,169.32867,15.021459
Cracks,118.jpg,..\data\Surface Crack Detection\Cracks\Cracks\118.jpg,1106,911,1.214,RGB,JPEG,485.4,False,c36a89d54b63870ee64dc8e9a6a859b0,156.40076,18.740498
Cracks,12.jpg,..\data\Surface Crack Detection\Cracks\Cracks\12.jpg,604,362,1.669,RGB,JPEG,126.9,False,4769002204ba56057cb7db16a6e75a0f,148.95343,25.141773
Cracks,120.jpg,..\data\Surface Crack Detection\Cracks\Cracks\120.jpg,2063,1334,1.546,RGB,JPEG,949.0,False,f7153541296faa325a93d864f6747ae4,169.52905,17.535896
Cracks,121.jpg,..\data\Surface Crack Detection\Cracks\Cracks\121.jpg,1513,1050,1.441,RGB,JPEG,578.7,False,424ad91c1c83447847ee1d212db0afc9,153.52563,16.733236
Cracks,122.jpg,..\data\Surface Crack Detection\Cracks\Cracks\122.jpg,763,510,1.496,RGB,JPEG,202.2,False,9db00bb7fcd85ef5e08e7a39e9decbd2,153.88623,18.294413
Cracks,124.jpg,..\data\Surface Crack Detection\Cracks\Cracks\124.jpg,1277,1176,1.086,RGB,JPEG,467.4,False,988c85a176c80639e77866e3dbe897b5,176.3487,12.150352
Cracks,125.jpg,..\data\Surface Crack Detection\Cracks\Cracks\125.jpg,2010,1433,1.403,RGB,JPEG,775.1,False,da538c0e192a50f89dabcdff1dafdee0,171.48932,13.672746
Cracks,126.jpg,..\data\Surface Crack Detection\Cracks\Cracks\126.jpg,2092,1569,1.333,RGB,JPEG,1127.2,False,2f4ff550cdb0dda1de46aef4b57a510e,161.67175,11.618626
Cracks,127.jpg,..\data\Surface Crack Detection\Cracks\Cracks\127.jpg,2694,1814,1.485,RGB,JPEG,1356.4,False,2e3088170492d83c534843668383ec24,159.13348,10.475356
Cracks,128.jpg,..\data\Surface Crack Detection\Cracks\Cracks\128.jpg,2121,2070,1.025,RGB,JPEG,1111.9,False,87ef8ccc3cdf4b0cfff9a8e9b4d4dce4,162.46863,10.041734
Cracks,129.jpg,..\data\Surface Crack Detection\Cracks\Cracks\129.jpg,1585,1234,1.284,RGB,JPEG,413.5,False,05b76727e0073da7429336c61c3e53a6,176.81268,13.604109
Cracks,13.jpg,..\data\Surface Crack Detection\Cracks\Cracks\13.jpg,384,495,0.776,RGB,JPEG,114.6,False,b6065e6af3d6b0cb2d6ec91f4f6cf89e,164.23071,31.92546
Cracks,130.jpg,..\data\Surface Crack Detection\Cracks\Cracks\130.jpg,2014,1735,1.161,RGB,JPEG,1212.0,False,4518338b5a17ade326ad3f23de548490,175.11707,12.7521715
Cracks,131.jpg,..\data\Surface Crack Detection\Cracks\Cracks\131.jpg,1578,1449,1.089,RGB,JPEG,535.4,False,b1ce1750f81224be048eccd550965389,182.5824,12.723819
Cracks,132.jpg,..\data\Surface Crack Detection\Cracks\Cracks\132.jpg,2242,1564,1.434,RGB,JPEG,1068.8,False,940e4f92ea75678b8942a16440faada8,176.16919,13.885177
Cracks,134.jpg,..\data\Surface Crack Detection\Cracks\Cracks\134.jpg,1512,1357,1.114,RGB,JPEG,379.1,False,2493fbede73c61b20a923744f30c7dcf,179.50928,11.176181
Cracks,135.jpg,..\data\Surface Crack Detection\Cracks\Cracks\135.jpg,1577,1408,1.12,RGB,JPEG,725.5,False,cba6b2d4acefab021bc49938fa7aa001,175.5144,13.038304
Cracks,136.jpg,..\data\Surface Crack Detection\Cracks\Cracks\136.jpg,2060,1762,1.169,RGB,JPEG,917.1,False,ec0e161a33558ab41d1518360c1752b7,161.77869,11.228445
Cracks,138.jpg,..\data\Surface Crack Detection\Cracks\Cracks\138.jpg,1608,1119,1.437,RGB,JPEG,693.0,False,6f0c6af39e16a582f34d974a26d76e9a,163.2005,13.103689
Cracks,14.jpg,..\data\Surface Crack Detection\Cracks\Cracks\14.jpg,997,978,1.019,RGB,JPEG,443.9,False,6cd156c2ece7f2abf700e2bceae9ffd8,160.31061,24.22757
Cracks,140.jpg,..\data\Surface Crack Detection\Cracks\Cracks\140.jpg,1995,1137,1.755,RGB,JPEG,387.9,False,3bbb096d7c94aba068e364a45bc76d5b,164.14276,14.840705
Cracks,141.jpg,..\data\Surface Crack Detection\Cracks\Cracks\141.jpg,2298,2362,0.973,RGB,JPEG,1806.3,False,7ad2008e8a2a9114d24b5b91a0d650c9,163.18384,9.988324
Cracks,142.jpg,..\data\Surface Crack Detection\Cracks\Cracks\142.jpg,2541,2159,1.177,RGB,JPEG,1331.1,False,2f9f03be52701bbbaa8c5cfdf507c020,158.97766,18.688046
Cracks,143.jpg,..\data\Surface Crack Detection\Cracks\Cracks\143.jpg,1414,1364,1.037,RGB,JPEG,499.7,False,7c894b8e662f429c36c2d9759729ae55,193.21606,13.517573
Cracks,144.jpg,..\data\Surface Crack Detection\Cracks\Cracks\144.jpg,1881,1384,1.359,RGB,JPEG,705.1,False,f31396f2c8d1e70544809b852eeefdc8,168.97821,14.594476
Cracks,145.jpg,..\data\Surface Crack Detection\Cracks\Cracks\145.jpg,1902,1422,1.338,RGB,JPEG,1333.7,False,30d178d0305962627fbad1bc88fce606,156.99469,12.9616995
Cracks,15.jpg,..\data\Surface Crack Detection\Cracks\Cracks\15.jpg,1454,1231,1.181,RGB,JPEG,863.4,False,c230f0fe68885942c1b6aeae796bdbac,151.7945,21.656395
Cracks,150.jpg,..\data\Surface Crack Detection\Cracks\Cracks\150.jpg,1008,456,2.211,RGB,JPEG,152.0,False,e836fe74806c9adde39331425343499f,156.70154,25.294666
Cracks,154.jpg,..\data\Surface Crack Detection\Cracks\Cracks\154.jpg,733,487,1.505,RGB,JPEG,74.1,False,37819b59dea8355922a32b6be581f23d,153.50262,11.805228
Cracks,155.jpg,..\data\Surface Crack Detection\Cracks\Cracks\155.jpg,864,796,1.085,RGB,JPEG,139.3,False,0c51dbd9a731be787d34208e14c596e1,145.96521,12.565682
Cracks,156.jpg,..\data\Surface Crack Detection\Cracks\Cracks\156.jpg,747,485,1.54,RGB,JPEG,105.0,False,8b577636dfca38841dd56486834317a4,169.72919,15.127714
Cracks,159.jpg,..\data\Surface Crack Detection\Cracks\Cracks\159.jpg,963,503,1.915,RGB,JPEG,167.7,False,ff1846b2ad7d7a3016278f76dfde07d0,169.07227,18.18899
Cracks,16.jpg,..\data\Surface Crack Detection\Cracks\Cracks\16.jpg,1597,1213,1.317,RGB,JPEG,953.2,False,945e6da8468b90eac2706d9fb7bf633a,148.93726,23.657831
Cracks,160.jpg,..\data\Surface Crack Detection\Cracks\Cracks\160.jpg,1144,861,1.329,RGB,JPEG,167.0,False,9c64e9ac6f0b40e91d985e5745baaaf6,164.43573,12.967193
Cracks,161.jpg,..\data\Surface Crack Detection\Cracks\Cracks\161.jpg,909,671,1.355,RGB,JPEG,134.5,False,eb8d71a57c402a7a8c56ddc4fe3a1104,160.75452,17.552929
Cracks,17.jpg,..\data\Surface Crack Detection\Cracks\Cracks\17.jpg,1012,530,1.909,RGB,JPEG,275.4,False,a8fd3fdc04bf5721e4657470abb0b41e,144.6972,23.367924
Cracks,18.jpg,..\data\Surface Crack Detection\Cracks\Cracks\18.jpg,1378,1276,1.08,RGB,JPEG,616.9,False,e0c95981d63deaace2eb545c9ba7295e,158.76318,19.03199
Cracks,19.jpg,..\data\Surface Crack Detection\Cracks\Cracks\19.jpg,1465,1258,1.165,RGB,JPEG,612.5,False,93574b6ba56fd3d38f2c6b0fcf677f11,157.35834,18.173704
Cracks,2.jpg,..\data\Surface Crack Detection\Cracks\Cracks\2.jpg,1006,874,1.151,RGB,JPEG,456.5,False,ccd2836ab3a256670ba3a8c25736b6ef,164.60571,20.116268
Cracks,20.jpg,..\data\Surface Crack Detection\Cracks\Cracks\20.jpg,1046,1044,1.002,RGB,JPEG,394.3,False,441e88dd1eec48d7ba7451fa16198c80,151.203,21.85618
Cracks,21.jpg,..\data\Surface Crack Detection\Cracks\Cracks\21.jpg,876,1022,0.857,RGB,JPEG,357.4,False,e60cfde0a1298235408a801487bfb3cf,149.9273,23.027754
Cracks,27.jpg,..\data\Surface Crack Detection\Cracks\Cracks\27.jpg,2111,1703,1.24,RGB,JPEG,1484.6,False,e6ae968e2d033fef2d1f82b8494aefdd,141.64581,20.306128
Cracks,28.jpg,..\data\Surface Crack Detection\Cracks\Cracks\28.jpg,2107,1894,1.112,RGB,JPEG,1232.7,False,322d695cdcd2f3ed4a6a356316876ec1,152.35803,17.217836
Cracks,29.jpg,..\data\Surface Crack Detection\Cracks\Cracks\29.jpg,1955,1969,0.993,RGB,JPEG,1000.4,False,e9903ae2177a03101d2e2b48cc75d6e9,157.01715,14.370274
Cracks,3.jpg,..\data\Surface Crack Detection\Cracks\Cracks\3.jpg,585,511,1.145,RGB,JPEG,149.5,False,0bf7b1ea47241e7ab24e6b99368c411d,165.87793,19.753078
Cracks,30.jpg,..\data\Surface Crack Detection\Cracks\Cracks\30.jpg,1627,1793,0.907,RGB,JPEG,964.8,False,df5f5771406714a2c1491a1060288660,152.26929,16.395483
Cracks,34.jpg,..\data\Surface Crack Detection\Cracks\Cracks\34.jpg,2434,1577,1.543,RGB,JPEG,1212.7,False,7996487d8b4a26a48d6446e2b2b3fd0f,161.09076,13.61913
Cracks,36.jpg,..\data\Surface Crack Detection\Cracks\Cracks\36.jpg,1253,1359,0.922,RGB,JPEG,738.9,False,d110413260b866ede498d7a1639837e5,164.25916,17.974747
Cracks,37.jpg,..\data\Surface Crack Detection\Cracks\Cracks\37.jpg,1799,1343,1.34,RGB,JPEG,944.4,False,d11fb76877dc7c4f2c5414b28ba87e79,161.97888,16.596506
Cracks,38.jpg,..\data\Surface Crack Detection\Cracks\Cracks\38.jpg,1049,509,2.061,RGB,JPEG,258.8,False,7c3197a535f7e58b2f4ca84acfd50294,150.57599,24.405205
Cracks,39.jpg,..\data\Surface Crack Detection\Cracks\Cracks\39.jpg,1361,1161,1.172,RGB,JPEG,746.9,False,f8eb81d8983cb5356256d28c1b94c426,164.60187,17.062578
Cracks,40.jpg,..\data\Surface Crack Detection\Cracks\Cracks\40.jpg,1090,645,1.69,RGB,JPEG,358.5,False,e29c207b95359ae63765dc9afd652cdd,153.94385,24.952541
Cracks,41.jpg,..\data\Surface Crack Detection\Cracks\Cracks\41.jpg,1229,880,1.397,RGB,JPEG,306.4,False,429bab511063e272c7df241c7a1be4a3,160.69604,12.021521
Cracks,44.jpg,..\data\Surface Crack Detection\Cracks\Cracks\44.jpg,1562,1189,1.314,RGB,JPEG,576.2,False,af4e20ce89dc2fd62629a098e4a738be,169.99084,10.735867
Cracks,47.jpg,..\data\Surface Crack Detection\Cracks\Cracks\47.jpg,1382,875,1.579,RGB,JPEG,369.5,False,f6fb235b4714eb754ad0fe2e9566957b,160.1659,17.500689
Cracks,48.jpg,..\data\Surface Crack Detection\Cracks\Cracks\48.jpg,681,710,0.959,RGB,JPEG,269.4,False,7afb7e9959b877f82fc1cf9a6ee097b7,165.10974,17.712044
Cracks,5.jpg,..\data\Surface Crack Detection\Cracks\Cracks\5.jpg,1250,927,1.348,RGB,JPEG,356.6,False,b4cb4e99c649026ac32e129adf483730,160.6222,25.189648
Cracks,54.jpg,..\data\Surface Crack Detection\Cracks\Cracks\54.jpg,2042,1568,1.302,RGB,JPEG,1514.3,False,56c3b0572391e638b9c1d56457abb808,150.30963,14.242833
Cracks,55.jpg,..\data\Surface Crack Detection\Cracks\Cracks\55.jpg,1686,965,1.747,RGB,JPEG,749.0,False,e98f15aad7415ce406f08aef387896c9,158.00171,17.489191
Cracks,58.jpg,..\data\Surface Crack Detection\Cracks\Cracks\58.jpg,1354,1012,1.338,RGB,JPEG,455.7,False,76efbd5511325c28e6fe76b9b0cf4f78,173.2956,9.279479
Cracks,6.jpg,..\data\Surface Crack Detection\Cracks\Cracks\6.jpg,835,456,1.831,RGB,JPEG,111.8,False,bec915a0628b395465af0079df09c680,131.26929,12.531893
Cracks,61.jpg,..\data\Surface Crack Detection\Cracks\Cracks\61.jpg,1520,1660,0.916,RGB,JPEG,1067.4,False,448b79bb8f35f6107fc336d21f0ddb18,153.9433,14.604942
Cracks,62.jpg,..\data\Surface Crack Detection\Cracks\Cracks\62.jpg,1483,1661,0.893,RGB,JPEG,1193.5,False,0a5a8173b24e380ad16559639443b352,152.99573,15.701386
Cracks,63.jpg,..\data\Surface Crack Detection\Cracks\Cracks\63.jpg,2637,2224,1.186,RGB,JPEG,1947.8,False,cb0b75fa1f0b92cabfeb5984c56bdd97,157.36865,11.420634
Cracks,64.jpg,..\data\Surface Crack Detection\Cracks\Cracks\64.jpg,1977,1295,1.527,RGB,JPEG,805.3,False,70f5b79276eaf0e1ec57d37945b4e7e8,155.42358,13.698025
Cracks,66.jpg,..\data\Surface Crack Detection\Cracks\Cracks\66.jpg,2146,1773,1.21,RGB,JPEG,1289.4,False,162ff67ceb6ed41725ab74ba49fe9f21,156.69214,16.592327
Cracks,69.jpg,..\data\Surface Crack Detection\Cracks\Cracks\69.jpg,2365,2177,1.086,RGB,JPEG,2425.2,False,ed3f5876b6406a54a1501536f6e5e6a0,151.53394,12.143442
Cracks,71.jpg,..\data\Surface Crack Detection\Cracks\Cracks\71.jpg,2287,1722,1.328,RGB,JPEG,1845.3,False,4d80ac81acf3bfb7bd7b3f970403baa9,151.3081,12.081608
Cracks,72.jpg,..\data\Surface Crack Detection\Cracks\Cracks\72.jpg,2333,1503,1.552,RGB,JPEG,1277.4,False,d87a0fe31b17e55cebbeaa7aa16524c4,154.2846,11.70204
Cracks,77.jpg,..\data\Surface Crack Detection\Cracks\Cracks\77.jpg,2564,1547,1.657,RGB,JPEG,1242.6,False,89efb5ca9ba2935292a3e6c6b47847df,173.1347,12.617427
Cracks,78.jpg,..\data\Surface Crack Detection\Cracks\Cracks\78.jpg,2117,1635,1.295,RGB,JPEG,1225.0,False,913f6889f8848cd33b05af896b5ae01f,166.7248,11.694402
Cracks,82.jpg,..\data\Surface Crack Detection\Cracks\Cracks\82.jpg,1538,976,1.576,RGB,JPEG,691.3,False,04d44f0cf98c229dae73083691271183,158.48315,14.248057
Cracks,83.jpg,..\data\Surface Crack Detection\Cracks\Cracks\83.jpg,2665,1613,1.652,RGB,JPEG,1865.9,False,6db974eaf38999ccfb4c15dd652eceaf,166.46777,12.402222
Cracks,85.jpg,..\data\Surface Crack Detection\Cracks\Cracks\85.jpg,1946,1363,1.428,RGB,JPEG,1162.2,False,a5081781f70d5d42d55074e4976997f0,152.2774,10.569922
Cracks,86.jpg,..\data\Surface Crack Detection\Cracks\Cracks\86.jpg,2888,1870,1.544,RGB,JPEG,2374.9,False,87e4f61af5f4e63cc7ca1da2a1a8701f,165.91626,13.117541
Cracks,87.jpg,..\data\Surface Crack Detection\Cracks\Cracks\87.jpg,1475,954,1.546,RGB,JPEG,563.3,False,8ac0666ff1d7f8755b6155fc5a6436df,168.83142,11.045075
Cracks,88.jpg,..\data\Surface Crack Detection\Cracks\Cracks\88.jpg,2276,1590,1.431,RGB,JPEG,1220.4,False,827ad9efc880f10d700481590be96cdb,170.2923,12.286137
Cracks,9.jpg,..\data\Surface Crack Detection\Cracks\Cracks\9.jpg,1530,1683,0.909,RGB,JPEG,795.2,False,018a792db6ae086060a13c2043644711,145.4809,22.639193
Cracks,90.jpg,..\data\Surface Crack Detection\Cracks\Cracks\90.jpg,1649,1362,1.211,RGB,JPEG,1023.9,False,0e2f1990c10d80b704d078fc64ef995c,160.02667,12.86374
Cracks,92.jpg,..\data\Surface Crack Detection\Cracks\Cracks\92.jpg,1533,1181,1.298,RGB,JPEG,877.2,False,4991606bd1dd4832036da34f8b9449d2,153.90778,11.68238
Cracks,94.jpg,..\data\Surface Crack Detection\Cracks\Cracks\94.jpg,1606,1604,1.001,RGB,JPEG,1004.0,False,98f363c3d87aa44548d3fc6597f6b7a5,168.38617,10.63305
Cracks,95.jpg,..\data\Surface Crack Detection\Cracks\Cracks\95.jpg,2178,1474,1.478,RGB,JPEG,941.9,False,ac1f041b2f4420d2bf4a8dadb156344c,162.40381,9.612387
Cracks,97.jpg,..\data\Surface Crack Detection\Cracks\Cracks\97.jpg,931,860,1.083,RGB,JPEG,141.2,False,3d11d578a93495c3314e47ba7a03e786,188.20709,13.433276
Cracks,98.jpg,..\data\Surface Crack Detection\Cracks\Cracks\98.jpg,1220,1016,1.201,RGB,JPEG,256.5,False,7f7364005cab1212751d257358af5010,173.4386,12.551584
Cracks,99.jpg,..\data\Surface Crack Detection\Cracks\Cracks\99.jpg,1568,1365,1.149,RGB,JPEG,567.4,False,9fa9c9215957e63615bcd9469e5a6f1b,175.9422,12.841749
Patch,1.jpg,..\data\Surface Crack Detection\Patch\Patch\1.jpg,908,582,1.56,RGB,JPEG,116.3,False,725853102c18f525fa3b28e57710c092,164.90454,16.224087
Patch,10.jpg,..\data\Surface Crack Detection\Patch\Patch\10.jpg,2986,2985,1.0,RGB,JPEG,2937.7,False,8937acb080f8de4d172ad673bf2655cf,164.75531,10.445426
Patch,100.jpg,..\data\Surface Crack Detection\Patch\Patch\100.jpg,783,1057,0.741,RGB,JPEG,156.4,False,8d386023af854fad22dc2f51f3a1efe6,167.4917,14.560267
Patch,11.jpg,..\data\Surface Crack Detection\Patch\Patch\11.jpg,3152,2272,1.387,RGB,JPEG,2966.3,False,5db7e183c5d1502020c9d33b25ccd1ff,174.23016,13.0352
Patch,12.jpg,..\data\Surface Crack Detection\Patch\Patch\12.jpg,2872,3023,0.95,RGB,JPEG,2970.3,False,46cc02a74aa6dfde20329f02a6f0cd34,164.62488,11.169096
Patch,13.jpg,..\data\Surface Crack Detection\Patch\Patch\13.jpg,3014,2115,1.425,RGB,JPEG,2500.0,False,ef7c384f4e998695570af009f6a60384,164.81488,16.330778
Patch,14.jpg,..\data\Surface Crack Detection\Patch\Patch\14.jpg,2698,2507,1.076,RGB,JPEG,2307.4,False,1f49c6e73436b7ec77f611be215b80d3,155.59253,21.658005
Patch,15.jpg,..\data\Surface Crack Detection\Patch\Patch\15.jpg,2616,1190,2.198,RGB,JPEG,946.4,False,4736e9d08cb04eda81924ff91b0470cf,154.84967,28.084217
Patch,16.jpg,..\data\Surface Crack Detection\Patch\Patch\16.jpg,1947,1233,1.579,RGB,JPEG,799.3,False,f6a745f2e14ddead8b300b1e0a85cedc,151.2951,14.102314
Patch,17.jpg,..\data\Surface Crack Detection\Patch\Patch\17.jpg,2687,2973,0.904,RGB,JPEG,2967.5,False,eb93c0450cd28a5a4461db4a89612fa2,164.76324,11.9896
Patch,18.jpg,..\data\Surface Crack Detection\Patch\Patch\18.jpg,2999,2715,1.105,RGB,JPEG,3087.0,False,068230b8239275d2912b68ccfc53b662,159.52533,11.800443
Patch,19.jpg,..\data\Surface Crack Detection\Patch\Patch\19.jpg,1933,2885,0.67,RGB,JPEG,2036.7,False,41d07aa81df70ed22b6afb8c2ac74e9f,164.46979,11.355181
Patch,2.jpg,..\data\Surface Crack Detection\Patch\Patch\2.jpg,2924,1329,2.2,RGB,JPEG,1648.6,False,14ab0a0737720c6df78a8103fa8ea163,161.2602,21.332993
Patch,20.jpg,..\data\Surface Crack Detection\Patch\Patch\20.jpg,3017,2134,1.414,RGB,JPEG,2027.0,False,5e00652a22c3c0094432a79784b714ab,157.11932,9.78455
Patch,21.jpg,..\data\Surface Crack Detection\Patch\Patch\21.jpg,3548,2728,1.301,RGB,JPEG,3646.8,False,ca021c30ebe51b26655b5747a31485f7,163.87653,11.344383
Patch,22.jpg,..\data\Surface Crack Detection\Patch\Patch\22.jpg,2654,2759,0.962,RGB,JPEG,2785.2,False,af2505ccbbf4c8951b5559e17901150b,171.01434,12.8983345
Patch,23.jpg,..\data\Surface Crack Detection\Patch\Patch\23.jpg,2045,1492,1.371,RGB,JPEG,989.4,False,a0a99353e80993cbb3992f815d79e25e,160.57257,13.12006
Patch,24.jpg,..\data\Surface Crack Detection\Patch\Patch\24.jpg,3934,2382,1.652,RGB,JPEG,2657.1,False,6e189ee60631d470c04b5f4d4afa5756,162.40356,13.276528
Patch,25.jpg,..\data\Surface Crack Detection\Patch\Patch\25.jpg,2676,1563,1.712,RGB,JPEG,1264.7,False,2e94132ea5d36bb7dc66a9ba6eba27a0,166.71692,10.440356
Patch,26.jpg,..\data\Surface Crack Detection\Patch\Patch\26.jpg,2939,1769,1.661,RGB,JPEG,1493.0,False,2e5c9d55e75462876c3d9d48bfdbbf19,170.46466,11.897962
Patch,27.jpg,..\data\Surface Crack Detection\Patch\Patch\27.jpg,2959,2042,1.449,RGB,JPEG,1872.3,False,6eb9d9586934ec453651cff20f80c7bc,158.24335,12.216204
Patch,28.jpg,..\data\Surface Crack Detection\Patch\Patch\28.jpg,3040,1938,1.569,RGB,JPEG,1650.1,False,876a01f85c82201f5f1ac94c2193fd29,165.04712,11.834175
Patch,29.jpg,..\data\Surface Crack Detection\Patch\Patch\29.jpg,2114,1574,1.343,RGB,JPEG,914.6,False,375ee5c60f1716d82fd3a981de6ff951,163.50812,13.79186
Patch,3.jpg,..\data\Surface Crack Detection\Patch\Patch\3.jpg,1373,1025,1.34,RGB,JPEG,415.7,False,bf68ba56f0b50321cefa7f55071859ed,164.80725,24.632143
Patch,30.jpg,..\data\Surface Crack Detection\Patch\Patch\30.jpg,2099,1042,2.014,RGB,JPEG,651.9,False,f0473fe5860a3801e4b6ee7905be670c,166.48901,14.467295
Patch,31.jpg,..\data\Surface Crack Detection\Patch\Patch\31.jpg,2924,2920,1.001,RGB,JPEG,2479.8,False,8f4a8c413bdd09bb0e7afee5988f77b5,166.38446,9.804732
Patch,32.jpg,..\data\Surface Crack Detection\Patch\Patch\32.jpg,2787,1491,1.869,RGB,JPEG,1255.3,False,37dc47918061b02aa9aed888974f1513,165.32916,11.088093
Patch,33.jpg,..\data\Surface Crack Detection\Patch\Patch\33.jpg,2728,1343,2.031,RGB,JPEG,1098.1,False,18c84db95e5e48ebc3ff923b385e273d,160.80609,9.783424
Patch,34.jpg,..\data\Surface Crack Detection\Patch\Patch\34.jpg,3399,1415,2.402,RGB,JPEG,1664.6,False,2732a92a183d458357984ee8294d6a6d,165.59497,9.07171
Patch,35.jpg,..\data\Surface Crack Detection\Patch\Patch\35.jpg,3110,1541,2.018,RGB,JPEG,1442.6,False,ed322cd182e46ca9456fb6d995f389e2,165.1742,8.615777
Patch,36.jpg,..\data\Surface Crack Detection\Patch\Patch\36.jpg,2502,1775,1.41,RGB,JPEG,1313.3,False,f233799885896a370f32a280f4da34f3,181.54053,9.249746
Patch,37.jpg,..\data\Surface Crack Detection\Patch\Patch\37.jpg,2964,1755,1.689,RGB,JPEG,1654.6,False,0dbe4658aeac1fd4d18e163592b6dfe9,174.49078,8.732448
Patch,38.jpg,..\data\Surface Crack Detection\Patch\Patch\38.jpg,4031,2276,1.771,RGB,JPEG,2927.9,False,10844fd987385ca7d965b9c57dbe652a,164.24402,8.273989
Patch,39.jpg,..\data\Surface Crack Detection\Patch\Patch\39.jpg,2805,1615,1.737,RGB,JPEG,1494.8,False,00986d08b2fdcd9373376aa0b4b85e4e,173.42102,8.007114
Patch,4.jpg,..\data\Surface Crack Detection\Patch\Patch\4.jpg,2363,1901,1.243,RGB,JPEG,1240.6,False,24f60ae8b65bd58d08104c10db0869d5,166.11908,13.664406
Patch,40.jpg,..\data\Surface Crack Detection\Patch\Patch\40.jpg,2416,1418,1.704,RGB,JPEG,728.2,False,d154e739bdf9da5e156178357e4b69cb,174.82068,9.08706
Patch,41.jpg,..\data\Surface Crack Detection\Patch\Patch\41.jpg,2625,1735,1.513,RGB,JPEG,1494.6,False,d505e08a4a8a04b22576adac9f033174,172.03363,8.702383
Patch,42.jpg,..\data\Surface Crack Detection\Patch\Patch\42.jpg,3037,1830,1.66,RGB,JPEG,1475.7,False,1b938ceccb6093fafe43bb77f2eeb51f,170.05304,8.42763
Patch,43.jpg,..\data\Surface Crack Detection\Patch\Patch\43.jpg,2159,2668,0.809,RGB,JPEG,1729.9,False,0bb31d86133bc6e47b85aa6da1bcbf3f,169.30396,9.552258
